strains,species,species_color,strains2,diversity2,color2
Pseudomonas_sp_GV071_6242,sp,#174590,Pseudomonas_sp_GV071_6242,3.06989361643748,#8482BD
Pseudomonas_sp_OV467_6267,sp,#174590,Pseudomonas_sp_OV467_6267,3.06989361643748,#8482BD
Pseudomonas_sp_286_isolate_p9H9_7869,sp,#174590,Pseudomonas_sp_286_isolate_p9H9_7869,3.06989361643748,#8482BD
Pseudomonas_sp_286_isolate_p13G10_8082,sp,#174590,Pseudomonas_sp_286_isolate_p13G10_8082,3.06989361643748,#8482BD
Pseudomonas_sp_286_isolate_p7H9_9209,sp,#174590,Pseudomonas_sp_286_isolate_p7H9_9209,3.06989361643748,#8482BD
Pseudomonas_sp_286_isolate_p9H8_9364,sp,#174590,Pseudomonas_sp_286_isolate_p9H8_9364,3.06989361643748,#8482BD
Pseudomonas_sp_286_isolate_p13H9_8101,sp,#174590,Pseudomonas_sp_286_isolate_p13H9_8101,3.06989361643748,#8482BD
Pseudomonas_fluvialis_ASS-1_6979,fluvialis,#7E7E80,Pseudomonas_fluvialis_ASS-1_6979,NaN,#000000
Pseudomonas_sp_ML96_3054,sp,#174590,Pseudomonas_sp_ML96_3054,NaN,#000000
Pseudomonas_sp_TBZ2_7574,sp,#174590,Pseudomonas_sp_TBZ2_7574,3.15015895980544,#807DBA
Pseudomonas_sp_DSWY01_7401,sp,#174590,Pseudomonas_sp_DSWY01_7401,3.15015895980544,#807DBA
Pseudomonas_mendocina_ALS1131_11751,mendocina,#7E7E80,Pseudomonas_mendocina_ALS1131_11751,3.15015895980544,#807DBA
Pseudomonas_mendocina_NBRC_14162_2992,mendocina,#7E7E80,Pseudomonas_mendocina_NBRC_14162_2992,3.15015895980544,#807DBA
Pseudomonas_mendocina_VN230_11749,mendocina,#7E7E80,Pseudomonas_mendocina_VN230_11749,3.15015895980544,#807DBA
Pseudomonas_mendocina_NCTC10897_9392,mendocina,#7E7E80,Pseudomonas_mendocina_NCTC10897_9392,3.15015895980544,#807DBA
Pseudomonas_alcaliphila_JAB1_4948,alcaliphila,#7E7E80,Pseudomonas_alcaliphila_JAB1_4948,3.15015895980544,#807DBA
Pseudomonas_sp_THAF187a_11874,sp,#174590,Pseudomonas_sp_THAF187a_11874,0.91829583405449,#E6E5F1
Pseudomonas_oleovorans_T9AD_12178,oleovorans,#7E7E80,Pseudomonas_oleovorans_T9AD_12178,0.91829583405449,#E6E5F1
Pseudomonas_sp_297_11336,sp,#174590,Pseudomonas_sp_297_11336,3.15015895980544,#807DBA
Pseudomonas_mendocina_FFL24_11750,mendocina,#7E7E80,Pseudomonas_mendocina_FFL24_11750,3.15015895980544,#807DBA
Pseudomonas_sp_YY-1_6346,sp,#174590,Pseudomonas_sp_YY-1_6346,3.15015895980544,#807DBA
Pseudomonas_sp_o96_11335,sp,#174590,Pseudomonas_sp_o96_11335,3.15015895980544,#807DBA
Pseudomonas_sp_8O_isolate_Pseudomonas_sp_8O_11669,sp,#174590,Pseudomonas_sp_8O_isolate_Pseudomonas_sp_8O_11669,3.15015895980544,#807DBA
Pseudomonas_alcaliphila_JCM_10630_5500,alcaliphila,#7E7E80,Pseudomonas_alcaliphila_JCM_10630_5500,3.15015895980544,#807DBA
Pseudomonas_alcaliphila_NBRC_102411_5765,alcaliphila,#7E7E80,Pseudomonas_alcaliphila_NBRC_102411_5765,3.15015895980544,#807DBA
Pseudomonas_sp_ALS1279_12294,sp,#174590,Pseudomonas_sp_ALS1279_12294,3.15015895980544,#807DBA
Pseudomonas_toyotomiensis_JCM_15604_5744,toyotomiensis,#7E7E80,Pseudomonas_toyotomiensis_JCM_15604_5744,3.15015895980544,#807DBA
Pseudomonas_sihuiensis_KCTC_32246_6811,sihuiensis,#7E7E80,Pseudomonas_sihuiensis_KCTC_32246_6811,NaN,#000000
Pseudomonas_sp_M30-35_6332,sp,#174590,Pseudomonas_sp_M30-35_6332,NaN,#000000
Pseudomonas_sp_S9_429,sp,#174590,Pseudomonas_sp_S9_429,0,#FCFBFD
Pseudomonas_segetis_CIP_108523_6047,segetis,#7E7E80,Pseudomonas_segetis_CIP_108523_6047,0,#FCFBFD
Pseudomonas_sp_21C1_21C1_4070,sp,#174590,Pseudomonas_sp_21C1_21C1_4070,0,#FCFBFD
Pseudomonas_cuatrocienegasensis_CIP_109853_6619,cuatrocienegasensis,#7E7E80,Pseudomonas_cuatrocienegasensis_CIP_109853_6619,0,#FCFBFD
Pseudomonas_sp_TTU2014-080ASC_3774,sp,#174590,Pseudomonas_sp_TTU2014-080ASC_3774,NaN,#000000
Pseudomonas_sp_HMWF010_6280,sp,#174590,Pseudomonas_sp_HMWF010_6280,1.25162916738782,#DCDCEC
Pseudomonas_sp_HMWF032_6327,sp,#174590,Pseudomonas_sp_HMWF032_6327,1.25162916738782,#DCDCEC
Pseudomonas_anguilliseptica_DSM_12111_6856,anguilliseptica,#7E7E80,Pseudomonas_anguilliseptica_DSM_12111_6856,NaN,#000000
Pseudomonas_sp_8BK_isolate_Pseudomonas_sp_8BK_11670,sp,#174590,Pseudomonas_sp_8BK_isolate_Pseudomonas_sp_8BK_11670,1.25162916738782,#DCDCEC
Pseudomonas_sp_CCM_8849_7380,sp,#174590,Pseudomonas_sp_CCM_8849_7380,NaN,#000000
Pseudomonas_peli_DSM_17833_7324,peli,#7E7E80,Pseudomonas_peli_DSM_17833_7324,1.25162916738782,#DCDCEC
Pseudomonas_sp_9AZ_isolate_Pseudomonas_sp_9AZ_12211,sp,#174590,Pseudomonas_sp_9AZ_isolate_Pseudomonas_sp_9AZ_12211,1.25162916738782,#DCDCEC
Pseudomonas_sp_P6B_11546,sp,#174590,Pseudomonas_sp_P6B_11546,4.32198646157202,#572D92
Pseudomonas_sp_P9A_9390,sp,#174590,Pseudomonas_sp_P9A_9390,4.32198646157202,#572D92
Pseudomonas_sp_P18A_11544,sp,#174590,Pseudomonas_sp_P18A_11544,4.32198646157202,#572D92
Pseudomonas_flavescens_LMG_18387_6762,flavescens,#7E7E80,Pseudomonas_flavescens_LMG_18387_6762,4.32198646157202,#572D92
Pseudomonas_fulva_MEJ086_2982,fulva,#7E7E80,Pseudomonas_fulva_MEJ086_2982,4.32198646157202,#572D92
Pseudomonas_punonensis_D1-6_5636,punonensis,#7E7E80,Pseudomonas_punonensis_D1-6_5636,4.32198646157202,#572D92
Pseudomonas_seleniipraecipitans_LMG_25475_7090,seleniipraecipitans,#7E7E80,Pseudomonas_seleniipraecipitans_LMG_25475_7090,4.32198646157202,#572D92
Pseudomonas_punonensis_CECT_8089_5345,punonensis,#7E7E80,Pseudomonas_punonensis_CECT_8089_5345,4.32198646157202,#572D92
Pseudomonas_argentinensis_CCUG_50743_11666,argentinensis,#7E7E80,Pseudomonas_argentinensis_CCUG_50743_11666,4.32198646157202,#572D92
Pseudomonas_argentinensis_LMG_22563_5042,argentinensis,#7E7E80,Pseudomonas_argentinensis_LMG_22563_5042,4.32198646157202,#572D92
Pseudomonas_sp_PA15_5050,sp,#174590,Pseudomonas_sp_PA15_5050,4.32198646157202,#572D92
Pseudomonas_sp_PA27_5221,sp,#174590,Pseudomonas_sp_PA27_5221,4.32198646157202,#572D92
Pseudomonas_sp_PA1_4988,sp,#174590,Pseudomonas_sp_PA1_4988,4.32198646157202,#572D92
Pseudomonas_fulva_12-X_159,fulva,#7E7E80,Pseudomonas_fulva_12-X_159,NaN,#000000
Pseudomonas_sp_AG1028_11683,sp,#174590,Pseudomonas_sp_AG1028_11683,4.32198646157202,#572D92
Pseudomonas_straminea_JCM_2783_6136,straminea,#7E7E80,Pseudomonas_straminea_JCM_2783_6136,4.32198646157202,#572D92
Pseudomonas_sp_TC-11_7016,sp,#174590,Pseudomonas_sp_TC-11_7016,NaN,#000000
Pseudomonas_kuykendallii_NRRL_B-59562_6972,kuykendallii,#7E7E80,Pseudomonas_kuykendallii_NRRL_B-59562_6972,NaN,#000000
Pseudomonas_geniculata_95_5893,geniculata,#7E7E80,Pseudomonas_geniculata_95_5893,NaN,#000000
Pseudomonas_sp_MWU14-2217_6167,sp,#174590,Pseudomonas_sp_MWU14-2217_6167,NaN,#000000
Pseudomonas_pelagia_Kongs-67_11745,pelagia,#7E7E80,Pseudomonas_pelagia_Kongs-67_11745,0,#FCFBFD
Pseudomonas_pelagia_58_7254,pelagia,#7E7E80,Pseudomonas_pelagia_58_7254,0,#FCFBFD
Pseudomonas_sp_MYb185_6215,sp,#174590,Pseudomonas_sp_MYb185_6215,NaN,#000000
Pseudomonas_sabulinigri_JCM_14963_6906,sabulinigri,#7E7E80,Pseudomonas_sabulinigri_JCM_14963_6906,NaN,#000000
Pseudomonas_oceani_DSM_100277_6211,oceani,#7E7E80,Pseudomonas_oceani_DSM_100277_6211,1.89106111207265,#BCBDDC
Pseudomonas_pachastrellae_JCM_12285_6044,pachastrellae,#7E7E80,Pseudomonas_pachastrellae_JCM_12285_6044,1.89106111207265,#BCBDDC
Pseudomonas_gallaeciensis_V113_7778,gallaeciensis,#7E7E80,Pseudomonas_gallaeciensis_V113_7778,1.89106111207265,#BCBDDC
Pseudomonas_abyssi_MT5_5989,abyssi,#7E7E80,Pseudomonas_abyssi_MT5_5989,1.89106111207265,#BCBDDC
Pseudomonas_sp_T3_7351,sp,#174590,Pseudomonas_sp_T3_7351,NaN,#000000
Pseudomonas_sp_A31_70_7513,sp,#174590,Pseudomonas_sp_A31_70_7513,0,#FCFBFD
Pseudomonas_sp_SD129_9451,sp,#174590,Pseudomonas_sp_SD129_9451,0,#FCFBFD
Pseudomonas_sp_CCUG_58779_11550,sp,#174590,Pseudomonas_sp_CCUG_58779_11550,0,#FCFBFD
Pseudomonas_sp_IC_126_9430,sp,#174590,Pseudomonas_sp_IC_126_9430,1.5,#D1D1E7
Pseudomonas_stutzeri_28a24_3065,stutzeri,#7E7E80,Pseudomonas_stutzeri_28a24_3065,NaN,#000000
Pseudomonas_stutzeri_DSM_17088_5799,stutzeri,#7E7E80,Pseudomonas_stutzeri_DSM_17088_5799,1.5,#D1D1E7
Pseudomonas_stutzeri_NT0128_3070,stutzeri,#7E7E80,Pseudomonas_stutzeri_NT0128_3070,1.5,#D1D1E7
Pseudomonas_sp_20_BN_3032,sp,#174590,Pseudomonas_sp_20_BN_3032,NaN,#000000
Pseudomonas_stutzeri_NCTC10473_6549,stutzeri,#7E7E80,Pseudomonas_stutzeri_NCTC10473_6549,NaN,#000000
Pseudomonas_xanthomarina_UASWS0955_4129,xanthomarina,#7E7E80,Pseudomonas_xanthomarina_UASWS0955_4129,1.58496250072116,#CCCDE4
Pseudomonas_sp_TTU2014-096BSC_3775,sp,#174590,Pseudomonas_sp_TTU2014-096BSC_3775,1.58496250072116,#CCCDE4
Pseudomonas_stutzeri_24a13_6221,stutzeri,#7E7E80,Pseudomonas_stutzeri_24a13_6221,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_NF13_331,stutzeri,#7E7E80,Pseudomonas_stutzeri_NF13_331,1.78067212952089,#C1C2DF
Pseudomonas_xanthomarina_PX_371_9368,xanthomarina,#7E7E80,Pseudomonas_xanthomarina_PX_371_9368,1.78067212952089,#C1C2DF
Pseudomonas_xanthomarina_PX_067_9369,xanthomarina,#7E7E80,Pseudomonas_xanthomarina_PX_067_9369,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_ATCC_17588_9483,stutzeri,#7E7E80,Pseudomonas_stutzeri_ATCC_17588_9483,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_DNSP21_7235,stutzeri,#7E7E80,Pseudomonas_stutzeri_DNSP21_7235,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_PS_167_9461,stutzeri,#7E7E80,Pseudomonas_stutzeri_PS_167_9461,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_PS_125_9468,stutzeri,#7E7E80,Pseudomonas_stutzeri_PS_125_9468,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_40D2_5302,stutzeri,#7E7E80,Pseudomonas_stutzeri_40D2_5302,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_ODKF13_4117,stutzeri,#7E7E80,Pseudomonas_stutzeri_ODKF13_4117,1.78067212952089,#C1C2DF
Pseudomonas_stutzeri_1W1-1A_7121,stutzeri,#7E7E80,Pseudomonas_stutzeri_1W1-1A_7121,NaN,#000000
Pseudomonas_stutzeri_ATCC_17587_11863,stutzeri,#7E7E80,Pseudomonas_stutzeri_ATCC_17587_11863,1.78067212952089,#C1C2DF
Pseudomonas_alcaligenes_OT_69_11328,alcaligenes,#7E7E80,Pseudomonas_alcaligenes_OT_69_11328,NaN,#000000
Pseudomonas_otitidis_DSM_17224_5448,otitidis,#7E7E80,Pseudomonas_otitidis_DSM_17224_5448,1.45914791702724,#D3D4E8
Pseudomonas_otitidis_25_K_11692,otitidis,#7E7E80,Pseudomonas_otitidis_25_K_11692,1.45914791702724,#D3D4E8
Pseudomonas_sp_FeS53a_3047,sp,#174590,Pseudomonas_sp_FeS53a_3047,1.45914791702724,#D3D4E8
Pseudomonas_furukawaii_KF707_5864,furukawaii,#7E7E80,Pseudomonas_furukawaii_KF707_5864,NaN,#000000
Pseudomonas_pseudoalcaligenes_KF707_363,pseudoalcaligenes,#7E7E80,Pseudomonas_pseudoalcaligenes_KF707_363,0.970950594454669,#E5E4F0
Pseudomonas_sp_A46_7196,sp,#174590,Pseudomonas_sp_A46_7196,0.970950594454669,#E5E4F0
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,resinovorans,#7E7E80,Pseudomonas_resinovorans_CA10_NBRC_106553_2452,NaN,#000000
Pseudomonas_sp_PE08_11703,sp,#174590,Pseudomonas_sp_PE08_11703,NaN,#000000
Pseudomonas_resinovorans_DSM_21078_464,resinovorans,#7E7E80,Pseudomonas_resinovorans_DSM_21078_464,0.970950594454669,#E5E4F0
Pseudomonas_sp_D_2018_9381,sp,#174590,Pseudomonas_sp_D_2018_9381,0.970950594454669,#E5E4F0
Pseudomonas_luteola_PL_137_7395,luteola,#7E7E80,Pseudomonas_luteola_PL_137_7395,0,#FCFBFD
Pseudomonas_zeshuii_KACC_15471_5333,zeshuii,#7E7E80,Pseudomonas_zeshuii_KACC_15471_5333,0,#FCFBFD
Pseudomonas_sp_HPB0071_228,sp,#174590,Pseudomonas_sp_HPB0071_228,0,#FCFBFD
Pseudomonas_luteola_NCTC11842_6361,luteola,#7E7E80,Pseudomonas_luteola_NCTC11842_6361,0,#FCFBFD
Pseudomonas_sp_EpSL25_SL25_3772,sp,#174590,Pseudomonas_sp_EpSL25_SL25_3772,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_DE0602_11685,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_DE0602_11685,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_PRS08-11306_5018,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_PRS08-11306_5018,1.5,#D1D1E7
Pseudomonas_psychrotolerans_CS51_7569,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_CS51_7569,1.5,#D1D1E7
Pseudomonas_psychrotolerans_SB5_3706,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_SB5_3706,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_SB8_3709,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_SB8_3709,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_NS376_3704,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_NS376_3704,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_SB14_3711,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_SB14_3711,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_RSA46_3701,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_RSA46_3701,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_SB11_3705,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_SB11_3705,1.8011891440562,#C1C2DF
Pseudomonas_sp_ZYY160_9454,sp,#174590,Pseudomonas_sp_ZYY160_9454,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_NS2_3699,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_NS2_3699,1.8011891440562,#C1C2DF
Pseudomonas_sp_BAV_4579_11847,sp,#174590,Pseudomonas_sp_BAV_4579_11847,1.8011891440562,#C1C2DF
Pseudomonas_sp_1766_7519,sp,#174590,Pseudomonas_sp_1766_7519,1.8011891440562,#C1C2DF
Pseudomonas_sp_313_389,sp,#174590,Pseudomonas_sp_313_389,1.8011891440562,#C1C2DF
Pseudomonas_oryzihabitans_H72_4050,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_H72_4050,1.8011891440562,#C1C2DF
Pseudomonas_sp_Snoq1172_6864,sp,#174590,Pseudomonas_sp_Snoq1172_6864,1.8011891440562,#C1C2DF
Pseudomonas_oryzihabitans_L3570_11725,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_L3570_11725,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_NS337_3710,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_NS337_3710,1.8011891440562,#C1C2DF
Pseudomonas_psychrotolerans_L19_344,psychrotolerans,#7E7E80,Pseudomonas_psychrotolerans_L19_344,1.8011891440562,#C1C2DF
Pseudomonas_sp_JUb52_11567,sp,#174590,Pseudomonas_sp_JUb52_11567,1.8011891440562,#C1C2DF
Pseudomonas_sp_RIT_411_6109,sp,#174590,Pseudomonas_sp_RIT_411_6109,1.8011891440562,#C1C2DF
Pseudomonas_oryzihabitans_RIT370_2999,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_RIT370_2999,1.8011891440562,#C1C2DF
Pseudomonas_oryzihabitans_DE0051_11721,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_DE0051_11721,1.8011891440562,#C1C2DF
Pseudomonas_oryzihabitans_DE0585_11719,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_DE0585_11719,1.8011891440562,#C1C2DF
Pseudomonas_oryzihabitans_DE0011_11723,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_DE0011_11723,1.8011891440562,#C1C2DF
Pseudomonas_sp_HUK17_HUK17_4105,sp,#174590,Pseudomonas_sp_HUK17_HUK17_4105,NaN,#000000
Pseudomonas_oryzihabitans_FDAARGOS_657_11724,oryzihabitans,#7E7E80,Pseudomonas_oryzihabitans_FDAARGOS_657_11724,1.8011891440562,#C1C2DF
