strain1,strain2,lens1,lens2,spe1,spe2,color,dist_link1,dist_link2,phy_seqdist
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_resinovorans_CA10_NBRC_106553_2452,1,1,flavescens,resinovorans,#CEEBC466,0.0814868641699273,1,0.690618450276848
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_weihenstephanensis_DSM_29166_3045,1,1,flavescens,weihenstephanensis,#CEEBC466,1.34699832308552,1,0.58480221718317
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_lundensis_L1802_5969,1,1,flavescens,lundensis,#CEEBC466,1.34811626607043,1,0.59560938833006
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_fluorescens_AU2390_2972,1,1,flavescens,fluorescens,#CEEBC466,1.34923420905534,1,0.584737482302738
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_lundensis_L1817_7260,1,2,flavescens,lundensis,#CEEBC466,1.35035215204025,1,0.585887726890251
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_fluorescens_AU11164_2968,1,1,flavescens,fluorescens,#CEEBC466,1.35258803801006,1,0.584031300971651
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_lundensis_L1822_6360,1,1,flavescens,lundensis,#CEEBC466,1.35370598099497,1,0.590542928158596
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_fluorescens_AU12597_2974,1,1,flavescens,fluorescens,#CEEBC466,1.35594186696478,1,0.606392521129007
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_lundensis_AU1044_9429,1,2,flavescens,lundensis,#CEEBC466,1.35705980994969,1,0.721886360851272
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_lundensis_DSM_6252_2988,1,2,flavescens,lundensis,#CEEBC466,1.36153158188932,1,0.584746523104531
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_helleri_FSL_R10-2339_11835,1,1,flavescens,helleri,#CEEBC466,1.36376746785914,1,0.572489131421539
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_saxonica_DSM_108989_11871,1,2,flavescens,saxonica,#CEEBC466,1.36488541084405,1,0.606145223539737
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_taetrolens_DSM_21104_3090,1,4,flavescens,taetrolens,#CEEBC466,1.37718278367803,1,0.56464307504576
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_helleri_DSM_29165_3044,1,1,flavescens,helleri,#CEEBC466,1.38612632755729,1,0.615341235134654
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_psychrophila_BIGb0477_7520,1,1,flavescens,psychrophila,#CEEBC466,1.3872442705422,1,0.608104884400533
Pseudomonas_flavescens_LMG_18387_6762,Pseudomonas_helleri_FSL_R10-3257_11829,1,4,flavescens,helleri,#CEEBC466,1.38836221352711,1,0.607161871709424
Pseudomonas_alcaligenes_OT_69_11328,Pseudomonas_kilonensis_P12_6564,1,1,alcaligenes,kilonensis,#C090C166,1.71032979318055,1,0.604208612702074
Pseudomonas_alcaligenes_OT_69_11328,Pseudomonas_kilonensis_BS3780_5144,1,2,alcaligenes,kilonensis,#C090C166,1.71256567915036,1,0.716844320191253
Pseudomonas_alcaligenes_OT_69_11328,Pseudomonas_koreensis_CI12_4983,1,1,alcaligenes,koreensis,#C090C166,2.01776411403018,1,0.605514037764453
Pseudomonas_alcaligenes_OT_69_11328,Pseudomonas_fluorescens_36G2_9406,1,1,alcaligenes,fluorescens,#C090C166,2.01888205701509,1,0.597253090030023
Pseudomonas_alcaligenes_OT_69_11328,Pseudomonas_koreensis_CFBP13504_9437,1,1,alcaligenes,koreensis,#C090C166,2.02,1,0.603662442016187
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_weihenstephanensis_DSM_29166_3045,1,1,resinovorans,weihenstephanensis,#CCBECE66,1.28439351593069,1,0.717358664011031
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_lundensis_L1802_5969,1,1,resinovorans,lundensis,#CCBECE66,1.2855114589156,1,0.724066601451048
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_fluorescens_AU2390_2972,1,1,resinovorans,fluorescens,#CCBECE66,1.2866294019005,1,0.720017942339844
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_lundensis_L1817_7260,1,2,resinovorans,lundensis,#CCBECE66,1.28774734488541,1,0.711825770877615
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_fluorescens_AU11164_2968,1,1,resinovorans,fluorescens,#CCBECE66,1.28998323085523,1,0.717495543124116
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_lundensis_L1822_6360,1,1,resinovorans,lundensis,#CCBECE66,1.29110117384013,1,0.708581540582528
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_fluorescens_AU12597_2974,1,1,resinovorans,fluorescens,#CCBECE66,1.29333705980995,1,0.702759379606752
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_lundensis_AU1044_9429,1,2,resinovorans,lundensis,#CCBECE66,1.29445500279486,1,0.768872790628367
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_lundensis_DSM_6252_2988,1,2,resinovorans,lundensis,#CCBECE66,1.29892677473449,1,0.715906537856661
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_helleri_FSL_R10-2339_11835,1,1,resinovorans,helleri,#CCBECE66,1.3011626607043,1,0.706564503970508
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_saxonica_DSM_108989_11871,1,2,resinovorans,saxonica,#CCBECE66,1.30228060368921,1,0.700410681898726
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_taetrolens_DSM_21104_3090,1,4,resinovorans,taetrolens,#CCBECE66,1.3145779765232,1,0.722457342121874
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_helleri_DSM_29165_3044,1,1,resinovorans,helleri,#CCBECE66,1.32352152040246,1,0.730427905256887
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_psychrophila_BIGb0477_7520,1,1,resinovorans,psychrophila,#CCBECE66,1.32463946338737,1,0.740115708561616
Pseudomonas_resinovorans_CA10_NBRC_106553_2452,Pseudomonas_helleri_FSL_R10-3257_11829,1,4,resinovorans,helleri,#CCBECE66,1.32575740637228,1,0.72511384475902
Pseudomonas_psychrotolerans_DE0602_11685,Pseudomonas_citronellolis_TTU2014-011ASC_3662,1,1,psychrotolerans,citronellolis,#D6D7D766,0.0602459474566797,1,0.608807357306214
Pseudomonas_aeruginosa_NCTC10782_5991,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.196634991615428,1,0.471136345425199
Pseudomonas_aeruginosa_NCTC10731_6539,Pseudomonas_fluorescens_NCTC10783_9425,4,1,aeruginosa,fluorescens,#D7261C50,0.194399105645612,1,0.404184020297764
Pseudomonas_aeruginosa_Ocean-1175_6075,Pseudomonas_fluorescens_NCTC10783_9425,3,1,aeruginosa,fluorescens,#D7261C50,0.184337618781442,1,0.383462341811033
Pseudomonas_aeruginosa_JB2_7002,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.177629960871996,1,0.425355101832083
Pseudomonas_aeruginosa_YL84_2501,Pseudomonas_fluorescens_NCTC10783_9425,1,1,aeruginosa,fluorescens,#D7261C50,0.17539407490218,1,0.393283701997751
